Filename	Sample	Pair
veh1_S43_L007_R1_001.fastq	veh1	1
veh1_S43_L007_R2_001.fastq	veh1	2
veh1_S43_L008_R1_001.fastq	veh1	1
veh1_S43_L008_R2_001.fastq	veh1	2
veh2_S44_L007_R1_001.fastq	veh2	1
veh2_S44_L007_R2_001.fastq	veh2	2
veh2_S44_L008_R1_001.fastq	veh2	1
veh2_S44_L008_R2_001.fastq	veh2	2
veh3_S45_L007_R1_001.fastq	veh3	1
veh3_S45_L007_R2_001.fastq	veh3	2
veh3_S45_L008_R1_001.fastq	veh3	1
veh3_S45_L008_R2_001.fastq	veh3	2
treat1_S49_L007_R1_001.fastq	treat1	1
treat1_S49_L007_R2_001.fastq	treat1	2
treat1_S49_L008_R1_001.fastq	treat1	1
treat1_S49_L008_R2_001.fastq	treat1	2
treat2_S50_L007_R1_001.fastq	treat2	1
treat2_S50_L007_R2_001.fastq	treat2	2
treat2_S50_L008_R1_001.fastq	treat2	1
treat2_S50_L008_R2_001.fastq	treat2	2
treat3_S51_L007_R1_001.fastq	treat3	1
treat3_S51_L007_R2_001.fastq	treat3	2
treat3_S51_L008_R1_001.fastq	treat3	1
treat3_S51_L008_R2_001.fastq	treat3	2
knockdown1_S46_L007_R1_001.fastq	knockdown1	1
knockdown1_S46_L007_R2_001.fastq	knockdown1	2
knockdown1_S46_L008_R1_001.fastq	knockdown1	1
knockdown1_S46_L008_R2_001.fastq	knockdown1	2
knockdown2_S47_L007_R1_001.fastq	knockdown2	1
knockdown2_S47_L007_R2_001.fastq	knockdown2	2
knockdown2_S47_L008_R1_001.fastq	knockdown2	1
knockdown2_S47_L008_R2_001.fastq	knockdown2	2
knockdown3_S48_L007_R1_001.fastq	knockdown3	1
knockdown3_S48_L007_R2_001.fastq	knockdown3	2
knockdown3_S48_L008_R1_001.fastq	knockdown3	1
knockdown3_S48_L008_R2_001.fastq	knockdown3	2
