Jobnumber	Jobname	Status	Started	Ended	Submitted	Command	User
1041	WL19JM	completed	02/2811:27AM	02/2811:30AM	02/2811:27AM	python /home/xchen/chencode/Betsy_2version/scripts/run_protocol.py --protocol normalize_file --user xiaolingchen --job_name WL19JM --in_datatype SignalFile --in_param filename=/home/xchen/chencode/upload/xiaolingchen-2014-02-28T11_27_34.983632-all_aml_test_res --out_param logged=yes --out_param report_type=normalize_file --out_param format=tdf	xiaolingchen
1042	14IOOP	completed	02/2811:30AM	02/2811:32AM	02/2811:30AM	python /home/xchen/chencode/Betsy_2version/scripts/run_protocol.py --protocol normalize_file --user xiaolingchen --job_name 14IOOP --in_datatype SignalFile --in_param filename=/home/xchen/chencode/upload/xiaolingchen-2014-02-28T11_30_17.935301-all_aml_test_res --out_param logged=yes --out_param report_type=normalize_file --out_param format=tdf	xiaolingchen
1043	5XCKEZ	completed	02/2811:32AM	02/2811:45AM	02/2811:32AM	python /home/xchen/chencode/Betsy_2version/scripts/run_protocol.py --protocol normalize_file --user xiaolingchen --job_name 5XCKEZ --in_datatype SignalFile --in_param filename=/home/xchen/chencode/upload/xiaolingchen-2014-02-28T11_32_55.963438-all_aml_test_res --out_param logged=yes --out_param report_type=normalize_file --out_param format=tdf	xiaolingchen
1251	59BNWL	completed	06/23 2:52PM	06/23 2:52PM	06/23 2:52PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --job_name  --clean_up True --out 59BNWL.dat	xchen
1252	OZD7KH	completed	 	06/23 2:53PM	06/23 2:52PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --job_name  --clean_up True --out OZD7KH.dat	xchen
1253	A4BL9J	completed	 	06/23 3:07PM	06/23 2:52PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --job_name  --clean_up True --out A4BL9J.dat	xchen
1254	FSQZEG	completed	 	06/23 3:07PM	06/23 2:53PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --job_name  --clean_up True --out FSQZEG.dat	xchen
1255	3TND47	completed	06/23 3:07PM	06/23 3:07PM	06/23 3:07PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 3TND47.dat --clean_up	xchen
1256	27307L	completed	06/23 3:09PM	06/23 3:09PM	06/23 3:09PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 27307L.dat --clean_up	xchen
1257	I8H8QC	completed	 	06/23 3:11PM	06/23 3:10PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out I8H8QC.dat --clean_up	xchen
1258	1XWGA1	completed	 	06/23 3:11PM	06/23 3:10PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 1XWGA1.dat --clean_up	xchen
1259	2Q9JVS	completed	 	06/23 3:13PM	06/23 3:11PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 2Q9JVS.dat --clean_up	xchen
1260	KZSXW6	completed	 	06/23 3:14PM	06/23 3:11PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out KZSXW6.dat --clean_up	xchen
1261	R2A7HP	completed	06/23 3:14PM	06/23 3:14PM	06/23 3:12PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out R2A7HP.dat --clean_up	xchen
1262	GYASGT	completed	 	06/23 3:15PM	06/23 3:14PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out GYASGT.dat --clean_up	xchen
1263	0NOBMB	completed	 	06/23 3:16PM	06/23 3:15PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 0NOBMB.dat --clean_up	xchen
1264	2PRQIF	completed	06/23 3:17PM	06/23 3:17PM	06/23 3:17PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 2PRQIF.dat --clean_up	xchen
1265	5B582T	completed	06/23 3:19PM	06/23 3:19PM	06/23 3:19PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 5B582T.dat --clean_up	xchen
1266	LUNTDN	completed	 	06/23 3:20PM	06/23 3:19PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out LUNTDN.dat --clean_up	xchen
1267	9TQ1JO	completed	06/23 3:21PM	06/23 3:21PM	06/23 3:20PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 9TQ1JO.dat --clean_up	xchen
1268	GMP81H	completed	06/23 3:22PM	06/23 3:22PM	06/23 3:21PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out GMP81H.dat --clean_up	xchen
1269	GU8TUR	completed	06/23 3:23PM	06/23 3:23PM	06/23 3:23PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out GU8TUR.dat --clean_up	xchen
1270	B961DE	completed	06/23 3:25PM	06/23 3:25PM	06/23 3:25PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out B961DE.dat --clean_up	xchen
1271	T21SNM	completed	06/23 3:28PM	06/23 3:28PM	06/23 3:28PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out T21SNM.dat --clean_up	xchen
1272	LCRYC6	completed	06/23 3:30PM	06/23 3:30PM	06/23 3:30PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out LCRYC6.dat --clean_up	xchen
1273	JJ01SU	completed	06/23 3:32PM	06/23 3:32PM	06/23 3:32PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out JJ01SU.dat --clean_up	xchen
1274	YNXF6U	completed	06/23 3:33PM	06/23 3:33PM	06/23 3:33PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YNXF6U.dat --clean_up	xchen
1275	RXSPZC	completed	06/23 3:34PM	06/23 3:34PM	06/23 3:33PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out RXSPZC.dat --clean_up	xchen
1276	7P4VPE	completed	06/23 3:35PM	06/23 3:35PM	06/23 3:34PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 29 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 7P4VPE.dat --clean_up	xchen
1277	ILO90R	completed	06/23 3:36PM	06/23 3:36PM	06/23 3:35PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out ILO90R.dat --clean_up	xchen
1278	YIGD55	completed	06/23 3:37PM	06/23 3:37PM	06/23 3:36PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YIGD55.dat --clean_up	xchen
1279	FMZL09	completed	 	06/23 3:38PM	06/23 3:37PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 19 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out FMZL09.dat --clean_up	xchen
1280	JRG9AP	completed	 	06/23 3:39PM	06/23 3:38PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 17 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out JRG9AP.dat --clean_up	xchen
1281	X475OK	completed	06/23 3:40PM	06/23 3:40PM	06/23 3:39PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 11 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out X475OK.dat --clean_up	xchen
1282	FLD2E2	completed	06/23 3:41PM	06/23 3:41PM	06/23 3:40PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 14 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out FLD2E2.dat --clean_up	xchen
1283	8HVGL7	completed	 	06/23 3:42PM	06/23 3:41PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 12 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 8HVGL7.dat --clean_up	xchen
1284	6F1Z2L	completed	06/23 3:43PM	06/23 3:43PM	06/23 3:42PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 9 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 6F1Z2L.dat --clean_up	xchen
1285	A6N4QH	completed	 	06/23 3:44PM	06/23 3:43PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 7 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out A6N4QH.dat --clean_up	xchen
1286	8G681P	completed	 	06/23 3:45PM	06/23 3:44PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 5 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 8G681P.dat --clean_up	xchen
1287	65I0Z0	completed	06/23 3:46PM	06/23 3:46PM	06/23 3:45PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 3 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 65I0Z0.dat --clean_up	xchen
1288	H4RIQG	completed	06/23 3:47PM	06/23 3:47PM	06/23 3:46PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 1 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out H4RIQG.dat --clean_up	xchen
1289	2M2J24	completed	 	06/23 3:58PM	06/23 3:57PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 2M2J24.dat --clean_up	xchen
1290	CA3C9U	completed	06/23 3:58PM	06/23 3:58PM	06/23 3:58PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out CA3C9U.dat --clean_up	xchen
1291	R5RKBZ	completed	 	06/23 4:00PM	06/23 3:58PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out R5RKBZ.dat --clean_up	xchen
1292	RF3EF0	completed	06/23 4:00PM	06/23 4:00PM	06/23 4:00PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out RF3EF0.dat --clean_up	xchen
1293	YD59Y3	completed	06/23 4:01PM	06/23 4:01PM	06/23 4:00PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YD59Y3.dat --clean_up	xchen
1294	9OZ55B	completed	 	06/23 4:02PM	06/23 4:01PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 29 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 9OZ55B.dat --clean_up	xchen
1295	AYYZ9G	completed	06/23 4:03PM	06/23 4:03PM	06/23 4:02PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out AYYZ9G.dat --clean_up	xchen
1296	YJX4ZQ	completed	06/23 4:04PM	06/23 4:04PM	06/23 4:03PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out YJX4ZQ.dat --clean_up	xchen
1297	48VFEA	completed	06/23 4:05PM	06/23 4:05PM	06/23 4:04PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 19 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 48VFEA.dat --clean_up	xchen
1298	TBOQ53	completed	06/23 4:06PM	06/23 4:06PM	06/23 4:05PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 17 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out TBOQ53.dat --clean_up	xchen
1299	QYKDLA	completed	 	06/23 4:07PM	06/23 4:06PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out QYKDLA.dat --clean_up	xchen
1300	LALXSA	completed	06/23 4:11PM	06/23 4:11PM	06/23 4:11PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out LALXSA.dat --clean_up	xchen
1301	DAYUU6	completed	06/23 4:12PM	06/23 4:12PM	06/23 4:11PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out DAYUU6.dat --clean_up	xchen
1302	OCCJK8	completed	 	06/23 4:13PM	06/23 4:12PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 29 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out OCCJK8.dat --clean_up	xchen
1303	FPWPNE	completed	 	06/23 4:14PM	06/23 4:13PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out FPWPNE.dat --clean_up	xchen
1304	ZN0VC9	completed	06/23 4:15PM	06/23 4:15PM	06/23 4:14PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out ZN0VC9.dat --clean_up	xchen
1305	JJU2KF	completed	 	06/23 4:16PM	06/23 4:15PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 19 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out JJU2KF.dat --clean_up	xchen
