127.0.0.1, 2012-12-11 13:46:29, GET, /welcome/default/index, HTTP/1.1, 500, 5.426318
127.0.0.1, 2012-12-11 13:46:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/default/ticket/welcome/127.0.0.1.2012-12-11.13-46-23.60b5f3fb-dc87-455d-92d2-c78e223d04d6, HTTP/1.1, 303, 0.308729
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/default/index, HTTP/1.1, 200, 0.139921
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001448
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001941
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.003998
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002500
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001600
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2012-12-11 13:46:31, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000553
127.0.0.1, 2012-12-11 13:46:32, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000393
127.0.0.1, 2012-12-11 13:46:32, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001124
127.0.0.1, 2012-12-11 13:46:32, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001110
127.0.0.1, 2012-12-11 13:46:32, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001367
127.0.0.1, 2012-12-11 13:46:32, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2012-12-11 13:46:35, POST, /admin/default/index, HTTP/1.1, 200, 0.601248
127.0.0.1, 2012-12-11 13:46:43, POST, /admin/default/index, HTTP/1.1, 303, 0.091258
127.0.0.1, 2012-12-11 13:46:43, GET, /admin/default/ticket/welcome/127.0.0.1.2012-12-11.13-46-23.60b5f3fb-dc87-455d-92d2-c78e223d04d6, HTTP/1.1, 200, 0.094971
127.0.0.1, 2012-12-11 13:46:43, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000615
127.0.0.1, 2012-12-11 13:46:44, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000628
127.0.0.1, 2012-12-11 13:46:44, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001489
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/default/site, HTTP/1.1, 200, 0.069009
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000577
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000995
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000798
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.001350
127.0.0.1, 2012-12-11 13:49:00, POST, /admin/default/check_version, HTTP/1.1, 200, 0.475724
127.0.0.1, 2012-12-11 13:49:00, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.718440
127.0.0.1, 2012-12-11 13:52:23, GET, /admin/default/ticket/welcome/127.0.0.1.2012-12-11.13-46-23.60b5f3fb-dc87-455d-92d2-c78e223d04d6, HTTP/1.1, 200, 0.111912
127.0.0.1, 2012-12-11 14:00:13, GET, /welcome, HTTP/1.1, 500, 5.046751
127.0.0.1, 2012-12-11 14:00:22, GET, /, HTTP/1.1, 303, 0.000741
127.0.0.1, 2012-12-11 14:00:27, GET, /welcome/default/index, HTTP/1.1, 500, 5.040411
127.0.0.1, 2012-12-11 14:00:47, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.210837
127.0.0.1, 2012-12-11 14:00:47, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000545
127.0.0.1, 2012-12-11 14:00:47, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2012-12-11 14:00:47, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2012-12-11 14:00:47, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.079435
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002153
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001793
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.002585
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000987
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.000426
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000416
127.0.0.1, 2012-12-11 14:00:51, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2012-12-11 14:01:04, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.128415
127.0.0.1, 2012-12-11 14:01:06, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.056302
127.0.0.1, 2012-12-12 14:23:35, GET, /, HTTP/1.1, 303, 0.001255
127.0.0.1, 2012-12-12 14:23:40, GET, /welcome/default/index, HTTP/1.1, 500, 5.275284
127.0.0.1, 2012-12-12 14:23:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/default/ticket/welcome/127.0.0.1.2012-12-12.14-23-35.3c9e9433-ad06-46f7-b99f-341e49c0195f, HTTP/1.1, 303, 0.231873
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/default/index, HTTP/1.1, 200, 0.064718
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002491
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001783
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002787
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002112
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.004618
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000956
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000667
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000396
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001834
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001785
127.0.0.1, 2012-12-12 14:23:47, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001081
127.0.0.1, 2012-12-12 14:23:51, POST, /admin/default/index, HTTP/1.1, 303, 0.085403
127.0.0.1, 2012-12-12 14:23:51, GET, /admin/default/ticket/welcome/127.0.0.1.2012-12-12.14-23-35.3c9e9433-ad06-46f7-b99f-341e49c0195f, HTTP/1.1, 200, 0.090054
127.0.0.1, 2012-12-12 14:23:51, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2012-12-12 14:23:51, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000424
127.0.0.1, 2012-12-12 14:23:51, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2012-12-12 14:41:17, GET, /welcome/default/index, HTTP/1.1, 500, 5.128237
127.0.0.1, 2012-12-13 09:46:35, GET, /, HTTP/1.1, 303, 0.001006
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.515981
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.009838
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007908
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010667
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001424
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001073
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000397
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000403
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2012-12-13 09:46:35, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.008336
127.0.0.1, 2012-12-13 09:46:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001666
127.0.0.1, 2012-12-13 09:46:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001406
127.0.0.1, 2012-12-13 09:46:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001042
127.0.0.1, 2012-12-13 09:47:35, GET, /admin/default/index, HTTP/1.1, 200, 0.333967
127.0.0.1, 2012-12-13 09:47:37, POST, /admin/default/index, HTTP/1.1, 303, 0.101734
127.0.0.1, 2012-12-13 09:47:37, GET, /admin/default/site, HTTP/1.1, 200, 0.060452
127.0.0.1, 2012-12-13 09:47:37, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.006019
127.0.0.1, 2012-12-13 09:47:37, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000622
127.0.0.1, 2012-12-13 09:47:37, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.010851
127.0.0.1, 2012-12-13 09:47:37, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.006836
127.0.0.1, 2012-12-13 09:47:38, POST, /admin/default/check_version, HTTP/1.1, 200, 0.429473
127.0.0.1, 2012-12-13 09:47:38, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.463783
127.0.0.1, 2012-12-13 12:50:50, GET, /admin/default/site, HTTP/1.1, 303, 0.079570
127.0.0.1, 2012-12-13 12:50:50, GET, /admin/default/index, HTTP/1.1, 200, 0.040822
127.0.0.1, 2012-12-13 12:50:53, POST, /admin/default/index, HTTP/1.1, 303, 0.082220
127.0.0.1, 2012-12-13 12:50:53, GET, /admin/default/site, HTTP/1.1, 200, 0.055162
127.0.0.1, 2012-12-13 12:50:53, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.316200
127.0.0.1, 2012-12-13 12:50:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.429216
127.0.0.1, 2012-12-13 12:50:57, POST, /admin/default/site, HTTP/1.1, 303, 0.118075
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.188514
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001979
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001477
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001727
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000426
